borough,trips_2024,trips_2025,trip_diff,growth_pct
Unknown,1,3756,3755,375500.0
Staten Island,2457521,2772123,314602,12.8
N/A,7405209,8161532,756323,10.21
Queens,36567005,37773699,1206694,3.3
EWR,1297710,1327781,30071,2.32
Bronx,22097730,22438561,340831,1.54
Brooklyn,46239272,46136713,-102559,-0.22
Manhattan,62979539,57307768,-5671771,-9.01
