day_of_week,day_num,trips_2024,trips_2025,trip_diff,growth_pct
Sunday,1,25408367,24683695,-724672,-2.85
Monday,2,22359019,22038939,-320080,-1.43
Tuesday,3,23568673,23043024,-525649,-2.23
Wednesday,4,24394594,25006929,612335,2.51
Thursday,5,25628029,25413770,-214259,-0.84
Friday,6,27896065,27168395,-727670,-2.61
Saturday,7,29789240,28567181,-1222059,-4.1
