borough,trips_2024,trips_2025,trip_diff,growth_pct
Bronx,6034545,7229506,1194961,19.8
Brooklyn,16280442,18367170,2086728,12.82
N/A,2581526,2858269,276743,10.72
Queens,12792479,14159826,1367347,10.69
Manhattan,21256905,23310664,2053759,9.66
EWR,399200,426322,27122,6.79
Staten Island,949873,879515,-70358,-7.41
