borough,trips_2024,trips_2025,trip_diff,growth_pct
Bronx,6369289,7686551,1317262,20.68
Brooklyn,16602173,18804062,2201889,13.26
Queens,12851972,14466146,1614174,12.56
Manhattan,23527891,25393255,1865364,7.93
N/A,3180,3143,-37,-1.16
Staten Island,940465,878115,-62350,-6.63
