company,shared_request_pct_2024,shared_request_pct_2025,shared_request_pct_diff,match_rate_pct_2024,match_rate_pct_2025,match_rate_pct_diff
Lyft,0.0,0.01,0.01,,135.14,
Uber,4.84,3.91,-0.93,42.93,57.25,14.32
