month,trips_2024,trips_2025,trip_diff,growth_pct
1,14428697,15349627,920930,6.38
2,14397354,14414713,17359,0.12
3,15617543,14542597,-1074946,-6.88
4,14700360,14356939,-343421,-2.34
5,15534381,15034551,-499830,-3.22
6,15153688,14162460,-991228,-6.54
7,14324142,14136699,-187443,-1.31
8,14102651,13551838,-550813,-3.91
9,14615836,14040655,-575181,-3.94
10,15124226,15464298,340072,2.25
11,15120671,14900914,-219757,-1.45
12,15924438,15966642,42204,0.27
